Name,FP
ASTRALS,12.50 
CETS ON CRECK,36.50 
Doge Track: Genesis Doges,0.85 
Project TENJIN,2.30 
Sea Shanties Citizens Gen1,4.75 
Magnum AI,0.65 
Honey Genesis Bee,2.70 
CyberVillainz,1.80 
Moshiheads,2.79 
BongHeads,2.57 
CryptoStraps,2.85 
Drippies™️,2.66 
Botborgs,2.25 
Sugar Realm,0.40 
DIAMOND TOWN HEADS,0.97 
Guild Saga Heroes,1.15 
Cynova Legacy,0.99 
Zilla vs Kong,11.65 
Bulldog Billionaires,31.00 
Solana Pawn Stars,1.80 
Solana Puppy Pound,1.97 
The Sol Army,32.69 
Kirei Pigs Collection,0.77 
Cosmic Ape Crusaders,5.30 
Dahlys,5.00 
Fearless Bulls Club,1.32 
FunGuyz,2.42 
Moshiheads,2.79 
Soul Dogs,1.30 
