Name,FP
ASTRALS,13.00 
CETS ON CRECK,36.80 
Doge Track: Genesis Doges,0.93 
Project TENJIN,2.20 
Sea Shanties Citizens Gen1,4.55 
Magnum AI,0.74 
Honey Genesis Bee,2.48 
CyberVillainz,1.93 
Moshiheads,2.50 
BongHeads,2.60 
CryptoStraps,2.95 
Drippies™️,2.93 
Botborgs,2.25 
Sugar Realm,0.38 
DIAMOND TOWN HEADS,0.85 
Guild Saga Heroes,1.25 
Cynova Legacy,1.00 
Zilla vs Kong,12.55 
Bulldog Billionaires,29.50 
Solana Pawn Stars,1.90 
Solana Puppy Pound,1.90 
The Sol Army,30.69 
Kirei Pigs Collection,0.63 
Cosmic Ape Crusaders,5.39 
Dahlys,4.58 
Fearless Bulls Club,1.57 
FunGuyz,2.60 
Moshiheads,2.50 
Soul Dogs,1.20 
