Name,FP
ASTRALS,16.89 
CETS ON CRECK,35.00 
Doge Track: Genesis Doges,0.80 
Project TENJIN,2.30 
Sea Shanties Citizens Gen1,4.00 
Magnum AI,0.90 
Honey Genesis Bee,3.80 
CyberVillainz,2.50 
Moshiheads,2.55 
BongHeads,2.55 
CryptoStraps,2.50 
Drippies™️,3.10 
Botborgs,2.55 
Sugar Realm,0.34 
DIAMOND TOWN HEADS,1.29 
Guild Saga Heroes,1.15 
Cynova Legacy,1.10 
Zilla vs Kong,13.00 
Bulldog Billionaires,29.70 
Solana Pawn Stars,2.98 
Solana Puppy Pound,1.30 
The Sol Army,29.69 
Kirei Pigs Collection,1.09 
Cosmic Ape Crusaders,4.98 
Dahlys,5.00 
Fearless Bulls Club,1.29 
FunGuyz,6.40 
Moshiheads,2.55 
Soul Dogs,1.35 
